fieldmap_name:	BD-035
timestamp:	2017-04-03_11-51-47
filename:	2017-04-03_BD-035_Model09_Hall_I=991.63A.dat
nr_magnets:	1

magnet_name:	BD-035
gap[mm]:	28
control_gap:	--
magnet_length[mm]:	1206
current_main[A]:	991.63
NI_main[A.esp]:	11899.56
center_pos_z[mm]:	0
center_pos_x[mm]:	0
rotation[deg]:	0

X[mm]	Y[mm]	Z[mm]	Bx, By, Bz [T]
-20.000	0.000	-733.500	6.6796065374e-05, -6.9007019962e-03, 1.7971912553e-04
-18.000	0.000	-733.500	4.7861176053e-05, -6.9583445752e-03, 1.7995978773e-04
-16.000	0.000	-733.500	3.0659146455e-05, -7.0109971221e-03, 1.7990425030e-04
-14.000	0.000	-733.500	1.3399416909e-05, -7.0569195325e-03, 1.8073546052e-04
-12.000	0.000	-733.500	-3.7002418136e-06, -7.0982177597e-03, 1.7909710631e-04
-10.000	0.000	-733.500	-2.0362497706e-05, -7.1329418469e-03, 1.7780308418e-04
-8.000	0.000	-733.500	-3.6224399485e-05, -7.1626201889e-03, 1.7642945839e-04
-6.000	0.000	-733.500	-5.2774978059e-05, -7.1877226323e-03, 1.7439123469e-04
-4.000	0.000	-733.500	-6.7144126349e-05, -7.2066539268e-03, 1.7156808197e-04
-2.000	0.000	-733.500	-8.0960471914e-05, -7.2207864706e-03, 1.6918367494e-04
0.000	0.000	-733.500	-9.4155147073e-05, -7.2284024446e-03, 1.6619576118e-04
2.000	0.000	-733.500	-1.0643034564e-04, -7.2303096880e-03, 1.6273763049e-04
4.000	0.000	-733.500	-1.1971250137e-04, -7.2266326267e-03, 1.5946092209e-04
6.000	0.000	-733.500	-1.3139208758e-04, -7.2182459555e-03, 1.5577323669e-04
8.000	0.000	-733.500	-1.4191953612e-04, -7.2029935794e-03, 1.5104329885e-04
10.000	0.000	-733.500	-1.5305004218e-04, -7.1842052817e-03, 1.4705200884e-04
12.000	0.000	-733.500	-1.6309541696e-04, -7.1576710129e-03, 1.4289410653e-04
14.000	0.000	-733.500	-1.7285043071e-04, -7.1264698475e-03, 1.3841408712e-04
16.000	0.000	-733.500	-1.8240628658e-04, -7.0912164863e-03, 1.3421730862e-04
18.000	0.000	-733.500	-1.9096821432e-04, -7.0506982418e-03, 1.2908935252e-04
20.000	0.000	-733.500	-1.9928259067e-04, -7.0054741017e-03, 1.2428536477e-04
22.000	0.000	-733.500	-2.0771981207e-04, -6.9543740919e-03, 1.1944435207e-04
24.000	0.000	-733.500	-2.1631338171e-04, -6.8991011745e-03, 1.1407203128e-04
26.000	0.000	-733.500	-2.2336766565e-04, -6.8403926191e-03, 1.0942539958e-04
28.000	0.000	-733.500	-2.3129489397e-04, -6.7770320239e-03, 1.0412157495e-04
30.000	0.000	-733.500	-2.3834545533e-04, -6.7095263778e-03, 9.8534509433e-05
32.000	0.000	-733.500	-2.4594137426e-04, -6.6382489582e-03, 9.3823084067e-05
34.000	0.000	-733.500	-2.5337163851e-04, -6.5634207602e-03, 8.8567391881e-05
36.000	0.000	-733.500	-2.6110715409e-04, -6.4857920528e-03, 8.3557915638e-05
38.000	0.000	-733.500	-2.6918328549e-04, -6.4049561308e-03, 7.8850192768e-05
40.000	0.000	-733.500	-2.7634180160e-04, -6.3202852939e-03, 7.3570434362e-05
42.000	0.000	-733.500	-2.8408476233e-04, -6.2329532302e-03, 6.8451734505e-05
44.000	0.000	-733.500	-2.9286259955e-04, -6.1431902205e-03, 6.3549630628e-05
46.000	0.000	-733.500	-3.0242590058e-04, -6.0516796780e-03, 5.8888188950e-05
48.000	0.000	-733.500	-3.1125585388e-04, -5.9585961705e-03, 5.3480694454e-05
50.000	0.000	-733.500	-3.2087127099e-04, -5.8614808951e-03, 4.8634128007e-05
-50.000	0.000	-731.500	3.6660127155e-04, -5.9099233925e-03, 1.2263590308e-04
-48.000	0.000	-731.500	3.4755842749e-04, -6.0311828468e-03, 1.2960770187e-04
-46.000	0.000	-731.500	3.2768917127e-04, -6.1511367585e-03, 1.3493189022e-04
-44.000	0.000	-731.500	3.0922704926e-04, -6.2682827326e-03, 1.4043009586e-04
-42.000	0.000	-731.500	2.8925356088e-04, -6.3819206416e-03, 1.4587646655e-04
