fieldmap_name:     	BD-006
timestamp:         	2017-03-14_08-00-00
filename:          	2017-03-14_BD-006_Model09_Hall_I=996.5A_4.dat
nr_magnets:        	1

magnet_name:       	BD-006
gap[mm]:           	28
control_gap[mm]:   	--
magnet_length[mm]: 	1206
current_main[A]:   	996.5
NI_main[A.esp]:   	11958
center_pos_z[mm]: 	0
center_pos_x[mm]: 	0
rotation[deg]:    	0

X[mm]	Y[mm]	Z[mm]	Bx  By  Bz [T]
8.000	0.000	-733.500	1.4993052242e-04  -6.9567270397e-03  -4.7263834469e-04
10.000	0.000	-733.500	1.5054102509e-04  -6.9367724821e-03  -4.7230326885e-04
12.000	0.000	-733.500	1.5122597931e-04  -6.9118798912e-03  -4.7066306340e-04
14.000	0.000	-733.500	1.5022274473e-04  -6.8823129753e-03  -4.6889327061e-04
16.000	0.000	-733.500	1.5152192420e-04  -6.8477950264e-03  -4.6655514478e-04
18.000	0.000	-733.500	1.4989701922e-04  -6.8077224863e-03  -4.6479645948e-04
20.000	0.000	-733.500	1.4889378465e-04  -6.7628251961e-03  -4.6213066281e-04
22.000	0.000	-733.500	1.4731913446e-04  -6.7132777232e-03  -4.5911683157e-04
24.000	0.000	-733.500	1.4453836923e-04  -6.6600680458e-03  -4.5527734387e-04
26.000	0.000	-733.500	1.4341973476e-04  -6.6016510554e-03  -4.5185068440e-04
28.000	0.000	-733.500	1.3998937980e-04  -6.5403351292e-03  -4.4752802105e-04
30.000	0.000	-733.500	1.3439806873e-04  -6.4739976000e-03  -4.4350711107e-04
32.000	0.000	-733.500	1.2842519349e-04  -6.4051306984e-03  -4.3828474134e-04
34.000	0.000	-733.500	1.2314844020e-04  -6.3310991970e-03  -4.3298091672e-04
36.000	0.000	-733.500	1.1647572043e-04  -6.2550973107e-03  -4.2725315637e-04
38.000	0.000	-733.500	1.0874951129e-04  -6.1760924909e-03  -4.2236586247e-04
40.000	0.000	-733.500	1.0041838334e-04  -6.0934793227e-03  -4.1500345042e-04
42.000	0.000	-733.500	9.1346462517e-05  -6.0087899147e-03  -4.0908686281e-04
44.000	0.000	-733.500	8.0467230425e-05  -5.9204773013e-03  -4.0251493352e-04
46.000	0.000	-733.500	6.9373950138e-05  -5.8313104212e-03  -3.9532838999e-04
48.000	0.000	-733.500	5.6411936059e-05  -5.7389846112e-03  -3.8872684074e-04
50.000	0.000	-733.500	4.2979015954e-05  -5.6453551157e-03  -3.8162730586e-04
-50.000	0.000	-731.500	1.4075995330e-04  -5.6694008683e-03  -4.1484609437e-04
-48.000	0.000	-731.500	1.3885213244e-04  -5.7899713378e-03  -4.1985557061e-04
-46.000	0.000	-731.500	1.3851523920e-04  -5.9085119952e-03  -4.2533711501e-04
-44.000	0.000	-731.500	1.3727375967e-04  -6.0243728549e-03  -4.3015961524e-04
-42.000	0.000	-731.500	1.3626307994e-04  -6.1370933556e-03  -4.3481735442e-04
-40.000	0.000	-731.500	1.3606950593e-04  -6.2466177844e-03  -4.3911595155e-04
-38.000	0.000	-731.500	1.3605089304e-04  -6.3539434047e-03  -4.4432166005e-04
-36.000	0.000	-731.500	1.3504951975e-04  -6.4566318422e-03  -4.4889424184e-04
-34.000	0.000	-731.500	1.3500484882e-04  -6.5558734989e-03  -4.5357049350e-04
-32.000	0.000	-731.500	1.3437387198e-04  -6.6514306659e-03  -4.5813196780e-04
-30.000	0.000	-731.500	1.3504951975e-04  -6.7421983677e-03  -4.6352835481e-04
-28.000	0.000	-731.500	1.3521331315e-04  -6.8294970035e-03  -4.6765478591e-04
-26.000	0.000	-731.500	1.3625191221e-04  -6.9117536083e-03  -4.7157017477e-04
-24.000	0.000	-731.500	1.3639523144e-04  -6.9886617602e-03  -4.7554850605e-04
-22.000	0.000	-731.500	1.3758087230e-04  -7.0609828710e-03  -4.7996002929e-04
